date,index_name,ticker,region,currency,close
2021-01-31,S&P 500,^GSPC,United States,USD,3714.24
2021-02-28,S&P 500,^GSPC,United States,USD,3811.15
2021-03-31,S&P 500,^GSPC,United States,USD,3972.89
2021-04-30,S&P 500,^GSPC,United States,USD,4181.17
2021-05-31,S&P 500,^GSPC,United States,USD,4204.11
2021-06-30,S&P 500,^GSPC,United States,USD,4297.50
2021-07-31,S&P 500,^GSPC,United States,USD,4395.26
2021-08-31,S&P 500,^GSPC,United States,USD,4522.68
2021-09-30,S&P 500,^GSPC,United States,USD,4307.54
2021-10-31,S&P 500,^GSPC,United States,USD,4605.38
2021-11-30,S&P 500,^GSPC,United States,USD,4567.00
2021-12-31,S&P 500,^GSPC,United States,USD,4766.18
2022-01-31,S&P 500,^GSPC,United States,USD,4515.55
2022-02-28,S&P 500,^GSPC,United States,USD,4373.94
2022-03-31,S&P 500,^GSPC,United States,USD,4530.41
2022-04-30,S&P 500,^GSPC,United States,USD,4131.93
2022-05-31,S&P 500,^GSPC,United States,USD,4132.15
2022-06-30,S&P 500,^GSPC,United States,USD,3785.38
2022-07-31,S&P 500,^GSPC,United States,USD,4130.29
2022-08-31,S&P 500,^GSPC,United States,USD,3955.00
2022-09-30,S&P 500,^GSPC,United States,USD,3585.62
2022-10-31,S&P 500,^GSPC,United States,USD,3871.98
2022-11-30,S&P 500,^GSPC,United States,USD,4080.11
2022-12-31,S&P 500,^GSPC,United States,USD,3839.50
2023-01-31,S&P 500,^GSPC,United States,USD,4076.60
2023-02-28,S&P 500,^GSPC,United States,USD,3970.15
2023-03-31,S&P 500,^GSPC,United States,USD,4109.31
2023-04-30,S&P 500,^GSPC,United States,USD,4169.48
2023-05-31,S&P 500,^GSPC,United States,USD,4179.83
2023-06-30,S&P 500,^GSPC,United States,USD,4450.38
2023-07-31,S&P 500,^GSPC,United States,USD,4588.96
2023-08-31,S&P 500,^GSPC,United States,USD,4507.66
2023-09-30,S&P 500,^GSPC,United States,USD,4288.05
2023-10-31,S&P 500,^GSPC,United States,USD,4193.80
2023-11-30,S&P 500,^GSPC,United States,USD,4567.80
2023-12-31,S&P 500,^GSPC,United States,USD,4769.83
2024-01-31,S&P 500,^GSPC,United States,USD,4845.65
2024-02-29,S&P 500,^GSPC,United States,USD,5096.27
2024-03-31,S&P 500,^GSPC,United States,USD,5254.35
2024-04-30,S&P 500,^GSPC,United States,USD,5035.69
2024-05-31,S&P 500,^GSPC,United States,USD,5277.51
2024-06-30,S&P 500,^GSPC,United States,USD,5460.48
2024-07-31,S&P 500,^GSPC,United States,USD,5522.30
2024-08-31,S&P 500,^GSPC,United States,USD,5648.40
2024-09-30,S&P 500,^GSPC,United States,USD,5762.48
2024-10-31,S&P 500,^GSPC,United States,USD,5705.45
2024-11-30,S&P 500,^GSPC,United States,USD,6032.38
2024-12-31,S&P 500,^GSPC,United States,USD,5881.63
2021-01-31,NASDAQ Composite,^IXIC,United States,USD,13070.69
2021-02-28,NASDAQ Composite,^IXIC,United States,USD,13192.35
2021-03-31,NASDAQ Composite,^IXIC,United States,USD,13246.87
2021-04-30,NASDAQ Composite,^IXIC,United States,USD,13962.68
2021-05-31,NASDAQ Composite,^IXIC,United States,USD,13748.74
2021-06-30,NASDAQ Composite,^IXIC,United States,USD,14503.95
2021-07-31,NASDAQ Composite,^IXIC,United States,USD,14672.68
2021-08-31,NASDAQ Composite,^IXIC,United States,USD,15259.24
2021-09-30,NASDAQ Composite,^IXIC,United States,USD,14448.58
2021-10-31,NASDAQ Composite,^IXIC,United States,USD,15498.39
2021-11-30,NASDAQ Composite,^IXIC,United States,USD,15537.69
2021-12-31,NASDAQ Composite,^IXIC,United States,USD,15644.97
2022-01-31,NASDAQ Composite,^IXIC,United States,USD,14239.88
2022-02-28,NASDAQ Composite,^IXIC,United States,USD,13751.40
2022-03-31,NASDAQ Composite,^IXIC,United States,USD,14220.52
2022-04-30,NASDAQ Composite,^IXIC,United States,USD,12334.64
2022-05-31,NASDAQ Composite,^IXIC,United States,USD,12081.39
2022-06-30,NASDAQ Composite,^IXIC,United States,USD,11028.74
2022-07-31,NASDAQ Composite,^IXIC,United States,USD,12390.69
2022-08-31,NASDAQ Composite,^IXIC,United States,USD,11816.20
2022-09-30,NASDAQ Composite,^IXIC,United States,USD,10575.62
2022-10-31,NASDAQ Composite,^IXIC,United States,USD,10988.15
2022-11-30,NASDAQ Composite,^IXIC,United States,USD,11468.00
2022-12-31,NASDAQ Composite,^IXIC,United States,USD,10466.48
2023-01-31,NASDAQ Composite,^IXIC,United States,USD,11584.55
2023-02-28,NASDAQ Composite,^IXIC,United States,USD,11455.54
2023-03-31,NASDAQ Composite,^IXIC,United States,USD,12221.91
2023-04-30,NASDAQ Composite,^IXIC,United States,USD,12226.58
2023-05-31,NASDAQ Composite,^IXIC,United States,USD,12935.29
2023-06-30,NASDAQ Composite,^IXIC,United States,USD,13787.92
2023-07-31,NASDAQ Composite,^IXIC,United States,USD,14346.02
2023-08-31,NASDAQ Composite,^IXIC,United States,USD,14034.97
2023-09-30,NASDAQ Composite,^IXIC,United States,USD,13219.32
2023-10-31,NASDAQ Composite,^IXIC,United States,USD,12851.24
2023-11-30,NASDAQ Composite,^IXIC,United States,USD,14226.22
2023-12-31,NASDAQ Composite,^IXIC,United States,USD,15011.35
2024-01-31,NASDAQ Composite,^IXIC,United States,USD,15164.01
2024-02-29,NASDAQ Composite,^IXIC,United States,USD,16091.92
2024-03-31,NASDAQ Composite,^IXIC,United States,USD,16379.46
2024-04-30,NASDAQ Composite,^IXIC,United States,USD,15657.82
2024-05-31,NASDAQ Composite,^IXIC,United States,USD,16735.02
2024-06-30,NASDAQ Composite,^IXIC,United States,USD,17732.60
2024-07-31,NASDAQ Composite,^IXIC,United States,USD,17599.40
2024-08-31,NASDAQ Composite,^IXIC,United States,USD,17713.62
2024-09-30,NASDAQ Composite,^IXIC,United States,USD,18189.17
2024-10-31,NASDAQ Composite,^IXIC,United States,USD,18095.15
2024-11-30,NASDAQ Composite,^IXIC,United States,USD,19218.17
2024-12-31,NASDAQ Composite,^IXIC,United States,USD,19310.79
2021-01-31,FTSE 100,^FTSE,United Kingdom,GBP,6407.46
2021-02-28,FTSE 100,^FTSE,United Kingdom,GBP,6483.43
2021-03-31,FTSE 100,^FTSE,United Kingdom,GBP,6713.63
2021-04-30,FTSE 100,^FTSE,United Kingdom,GBP,6969.81
2021-05-31,FTSE 100,^FTSE,United Kingdom,GBP,7022.61
2021-06-30,FTSE 100,^FTSE,United Kingdom,GBP,7037.47
2021-07-31,FTSE 100,^FTSE,United Kingdom,GBP,7032.30
2021-08-31,FTSE 100,^FTSE,United Kingdom,GBP,7119.70
2021-09-30,FTSE 100,^FTSE,United Kingdom,GBP,7086.42
2021-10-31,FTSE 100,^FTSE,United Kingdom,GBP,7237.57
2021-11-30,FTSE 100,^FTSE,United Kingdom,GBP,7059.45
2021-12-31,FTSE 100,^FTSE,United Kingdom,GBP,7384.54
2022-01-31,FTSE 100,^FTSE,United Kingdom,GBP,7464.37
2022-02-28,FTSE 100,^FTSE,United Kingdom,GBP,7458.25
2022-03-31,FTSE 100,^FTSE,United Kingdom,GBP,7515.68
