country_code,country_name,year,indicator_code,indicator_name,value,unit,category
CHN,China,2020,CM.MKT.LCAP.GD.ZS,Market capitalization to GDP,81.8646786726428,% of GDP,market_depth
CHN,China,2021,CM.MKT.LCAP.GD.ZS,Market capitalization to GDP,79.3192238397069,% of GDP,market_depth
CHN,China,2022,CM.MKT.LCAP.GD.ZS,Market capitalization to GDP,62.6166578891979,% of GDP,market_depth
CHN,China,2023,CM.MKT.LCAP.GD.ZS,Market capitalization to GDP,59.8556765846528,% of GDP,market_depth
CHN,China,2024,CM.MKT.LCAP.GD.ZS,Market capitalization to GDP,62.7181039133864,% of GDP,market_depth
CHN,China,2020,FP.CPI.TOTL.ZG,Inflation,2.41942189457782,annual %,price
CHN,China,2021,FP.CPI.TOTL.ZG,Inflation,0.981015135544881,annual %,price
CHN,China,2022,FP.CPI.TOTL.ZG,Inflation,1.9735755573905,annual %,price
CHN,China,2023,FP.CPI.TOTL.ZG,Inflation,0.23483682889305,annual %,price
CHN,China,2024,FP.CPI.TOTL.ZG,Inflation,0.218128938439177,annual %,price
CHN,China,2020,NY.GDP.MKTP.KD.ZG,GDP growth,2.34018843078414,annual %,growth
CHN,China,2021,NY.GDP.MKTP.KD.ZG,GDP growth,8.57008513166322,annual %,growth
CHN,China,2022,NY.GDP.MKTP.KD.ZG,GDP growth,3.1341888719577,annual %,growth
CHN,China,2023,NY.GDP.MKTP.KD.ZG,GDP growth,5.41484330099675,annual %,growth
CHN,China,2024,NY.GDP.MKTP.KD.ZG,GDP growth,4.9773565917572,annual %,growth
CHN,China,2020,SL.UEM.TOTL.ZS,Unemployment,5.0,% of labor force,labor
CHN,China,2021,SL.UEM.TOTL.ZS,Unemployment,4.55,% of labor force,labor
CHN,China,2022,SL.UEM.TOTL.ZS,Unemployment,4.98,% of labor force,labor
CHN,China,2023,SL.UEM.TOTL.ZS,Unemployment,4.67,% of labor force,labor
CHN,China,2024,SL.UEM.TOTL.ZS,Unemployment,4.59,% of labor force,labor
GBR,United Kingdom,2021,CM.MKT.LCAP.GD.ZS,Market capitalization to GDP,118.935321441875,% of GDP,market_depth
GBR,United Kingdom,2022,CM.MKT.LCAP.GD.ZS,Market capitalization to GDP,97.3198877208869,% of GDP,market_depth
